Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Continent
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2015,3.9946261512183,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2016,3.40681271655218,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2017,3.72340281512711,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2018,3.87643265737667,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2019,3.995142834675,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2020,4.20421701305538,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2021,3.45660638746524,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2022,2.57685430442875,Southern Asia,Asia
Afganistán,AFG,Crecimiento de la población urbana (% anual),SP.URB.GROW,2023,3.31956817544451,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2015,-1.66505744749013,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2016,-0.300121027406746,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2017,-0.195569548342789,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2018,-1.71374269254262,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2019,0.856294729087764,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2020,-5.38251464221077,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2021,-22.5844818732987,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2022,-7.57666891152213,Southern Asia,Asia
Afganistán,AFG,Crecimiento del PIB per cápita (% anual),NY.GDP.PCAP.KD.ZG,2023,0.540655554216826,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2015,11.611,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2016,12.834,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2017,14.018,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2018,14.783,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2019,15.549,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2020,16.778,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2021,16.945,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2022,26.742,Southern Asia,Asia
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2023,26.57,Southern Asia,Asia
Afganistán,AFG,"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",SL.UEM.TOTL.NE.ZS,2017,11.184,Southern Asia,Asia
Afganistán,AFG,"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",SL.UEM.TOTL.NE.ZS,2020,11.71,Southern Asia,Asia
Afganistán,AFG,"Desempleo, total (% de participación total en la fuerza laboral) (estimación nacional)",SL.UEM.TOTL.NE.ZS,2021,5.679,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2015,8.401,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2016,9.399,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2017,10.363,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2018,10.198,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2019,10.031,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2020,10.456,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2021,10.911,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2022,13.168,Southern Asia,Asia
Afganistán,AFG,"Desempleo, varones (% de la población activa masculina) (estimación modelado OIT)",SL.UEM.TOTL.MA.ZS,2023,13.066,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2015,2.44356995394714,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2016,2.4849601701917,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2017,2.62567224694597,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2018,2.27635179617964,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2019,1.9009848903797,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2020,1.6432602739863,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2021,1.52556085558896,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2022,1.45463589117742,Southern Asia,Asia
Afganistán,AFG,"Empleadores, total (% del empleo total)",SL.EMP.MPYR.ZS,2023,1.4232002677188,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2015,38.9471907100985,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2016,38.7010848753164,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2017,37.7069532743694,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2018,39.2574524523303,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2019,41.7113305598848,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2020,44.1776447289925,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2021,44.3646392380646,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2022,45.4525300885341,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, hombres (% del empleo masculino)",SL.AGR.EMPL.MA.ZS,2023,45.3426582347764,Southern Asia,Asia
Afganistán,AFG,"Empleados en agricultura, mujeres (% del empleo femenino)",SL.AGR.EMPL.FE.ZS,2015,66.072065922278,Southern Asia,Asia
